id,archive_by_user,city,created_at,desc,image_count,mileage,platform,price,title,type,year
52910,True,Qom,Thursday 01PM,گوشی کاملا سالم، باتری و شارژر نداره ،اندروید۴.۴.۴، دوربین پشت ۸دوربین جلو ۵,4,NA,mobile,150000,گوشی سامسونگ گرند پریم,NA,NA
52922,True,Kermanshah,Saturday 06AM,ده روزه خریداری شده‌است. 110تومن خریدم بدون مشکل با گوشی اندروید معاوضه میکنم .رم خور بلوتوث دار,0,NA,mobile,90000,نوکیا دو سیم مدل130,NA,NA
52927,False,Tabriz,Friday 01PM,گوشی بسیار تمیز بدون ایراد با ios 9.3.4,3,NA,web,470000,آیفون 4s سفید 64 گیگ,NA,NA
53192,True,Mashhad,Thursday 04PM,"دوسیم فورجی 

حافظه ۸

سلفی ۵

مموری ۶۴ 

تاچ حرارتی 

حرفیه ای

کیفیت فول اچ تی 

عالی 

باور نگردنی 

ارسال در سراسر کشور 

با ما در تلگرامasus$NUM",1,NA,mobile,250000,الجی جی ۵ اثر انگشتی دو دوربین رسید,NA,NA
53235,False,Tabriz,Saturday 04PM,در حد آک _فروش و معاوضه_ لطفا پیام بدین پیشنهاداتون روممنون.,0,NA,mobile,1100000,سامسونگ نوت4,NA,NA
53272,True,Shiraz,Sunday 08PM,گوشی سامسونگ استارپلاس کاملا سالم. دارای هندزفری شارژر و... رنگ سورمه ای. لطفا مشتری واقعی تماس بگیره,2,NA,mobile,150000,گوشی موبایل استار پلاس,NA,NA
53314,False,Isfahan,Wednesday 07AM,"گوشی لاکاغذی و تمیز
بدون خط و خش و ضربه خوردگی
با۱ماه کار و خانگی
استثنایی و ویژه
فروش به دلیل مالی فوری",1,NA,mobile,2400000,iphone 6s 128gb ایفون۶اس ۱۲۸گیگ,NA,NA
53414,False,Qom,Thursday 04AM,ایفون آک و پلمپ شده با نازلترین قیمت ...فروش فوری,1,NA,mobile,2200000,iphone 6s 16gig ....پلمپ,NA,NA
53420,True,Shiraz,Friday 04PM,گوشی اورجینال میباشد..تمامی وسایل از جمله شارژر،هنذفری ، دارد یک بک کاورم روش هس...گوشی تمیز از گوشی های دیگه خیلی سره...فقط تماس..جواب پیام نمیدم فقط به خریدار واقعی ی تخفیف کوچیک میدم قیمت خوب گذاشتم اگه میدونی بهتر از این گیرت میاد خواهشن تماس نگیر,2,NA,mobile,1180000,iphone 5s 64GB,NA,NA
53435,True,Shiraz,Tuesday 04AM,با سلام گوشی سالمه سالمه بدون هیچ مشکلی بدون هیچ ظربه یا خط و خشی فقط یه حباب افتاده گوشی بالا سمت چپ که تو عکس پیداست دیگه هیچ مشکلی نداره با گارانتی سامتل قیمت مقطوع مقطوع مقطوع,5,NA,mobile,950000,S6 32g بدون حتی یه نقطه,NA,NA
